+	Ohthere	Ohthere	ohthere
+	se	þone	se
+	micel	mæstan	micel
-	dæl	dæl	dælan
+	þes	þisses	þes
+	middangeard	middangeardes	middangeard
+	gegan	gegan	gegan
+	magan	mehte	magan
-	þe	þe	þu
+	þæt	þæt	þæt
+	he	he	he
+	mid	mid	mid
+	swa	swa	swa
+	lytel	lytle	lytel
+	weorod	weorode	weorod
+	swa	swa	swa
+	micel	micel	micel
+	anginnan	anginnan	anginnan
+	durran	dorste	durran
+	on	On	on
+	þæm	þæm	þæm
+	ær	ærestan	ær
-	gefeoht	gefeohte	gefeohtan
-	þe	þe	þu
+	Alexander	Alexander	alexander
+	gefeohtan	gefeaht	gefeohtan
+	wiþ	wið	wiþ
+	Darius	Darius	darius
-	an	an	on
+	Perse	Persum	perse
+	Darius	Darius	darius
+	habban	hæfde	habban
+	six	siex	six
+	hund	hund	hund
+	þusend	m	þusend
+	folc	folces	folc
+	he	He	he
+	weorþan	wearþ	weorþan
+	þeah	þeh	þeah
+	swiðe	swiþor	swiðe
+	beswican	beswicen	beswican
+	for	for	for
+	Alexander	Alexandres	alexander
-	searu	searewe	None
+	þonne	þonne	þonne
+	for	for	for
-	his	his	hit
-	gefeoht	gefeohte	gefeohtan
+	þær	Þær	þær
+	wesan	wæs	wesan
+	ungemetlic	ungemetlic	ungemetlic
+	wæl	wæl	wæl
-	geslean	geslagen	slean
+	Perse	Persa	perse
+	&	&	None
+	Alexander	Alexandres	alexander
-	ne	n	næs
-	wesan	æs	æs
+	na	na	na
+	micel	ma	micel
+	þonne	þonne	þonne
+	hund	hund	hund
+	twentig	twelftig	twentig
+	on	on	on
-	se	þæm	þæm
+	rædehere	rædehere	rædehere
+	&	&	None
+	nigon	nigan	nigon
+	on	on	on
-	se	þæm	þæm
+	feþa	feðan	feþa
+	þa	Þa	þa
-	afaran	afor	afor
+	Alexander	Alexander	alexander
+	þanan	þonan	þanan
+	on	on	on
+	Friga	Frigam	friga
+	Asia	Asiam	asia
+	land	lond	land
+	&	&	None
+	hira	heora	hira
-	burh	burg	cantwara
+	abrecan	abræc	abrecan
+	&	&	None
+	toweorpan	towearp	toweorpan
-	þe	þe	þu
-	man	mon	mann
-	hatan	hætt	hætt
+	Sardis	Sardis	sardis
+	þa	Þa	þa
-	secgan	sægde	sægan
-	he	him	him
-	man	mon	mann
+	þæt	þæt	þæt
+	Darius	Darius	darius
+	habban	hæfde	habban
+	eft	eft	eft
-	fyrd	fird	None
+	gegaderian	gegaderod	gegaderian
+	on	on	on
+	Perse	Persum	perse
+	Alexander	Alexander	alexander
-	he	him	him
-	se	þæt	þæt
-	þa	þa	þu
+	ondrædan	ondred	ondrædan
+	for	for	for
-	se	þære	þære
+	nearu	nearwan	nearu
+	stow	stowe	stow
-	þe	þe	þu
+	he	he	he
-	þa	þa	þu
+	on	on	on
+	wesan	wæs	wesan
+	&	&	None
+	hrædlice	hrædlice	hrædlice
+	for	for	for
-	se	þæm	þæm
+	ege	ege	ege
+	þanan	þonan	þanan
-	afaran	afor	afor
+	ofer	ofer	ofer
+	Tauras	Taurasan	tauras
+	se	þone	se
-	beorg	beorg	beorgan
+	&	&	None
+	ungelifedlic	ungeliefedlicne	ungelifedlic
+	micelne	micelne	micelne
-	weg	weg	wegan
+	on	on	on
-	se	þæm	þæm
-	dæg	dæge	dæge
+	gefaran	gefor	gefaran
+	oþ	oð	oþ
+	he	he	he
+	cuman	com	cuman
-	to	to	toh
+	Tharsus	Tharsum	tharsus
-	se	þære	þære
-	burh	byrg	byrgan
+	on	on	on
+	Cilicia	Cilicium	cilicia
-	se	þæm	þæm
+	land	londe	land
+	on	On	on
-	se	ðæm	þæm
-	dæg	dæge	dæge
+	he	he	he
+	gemetan	gemette	gemetan
+	an	ane	an
+	ea	ea	ea
+	se	sio	se
+	habban	hæfde	habban
+	ungemetlice	ungemettlice	ungemetlice
-	ceald	ceald	None
+	wæter	wæter	wæter
-	se	seo	seon
+	wesan	wæs	wesan
+	Ciðnus	Ciðnus	ciðnus
+	hatan	haten	hatan
+	þa	Þa	þa
+	onginnan	ongan	onginnan
+	he	he	he
+	he	hine	he
+	baðian	baðian	baðian
+	þæron	þæron	þæron
+	swa	swa	swa
+	swatig	swatigne	swatig
-	þa	þa	þu
+	for	for	for
-	se	þæm	þæm
+	cyle	ciele	cyle
-	he	him	him
+	gescrincan	gescruncan	gescrincan
+	ealle	ealle	ealle
-	se	þa	þu
+	æder	ædra	æder
+	þæt	þæt	þæt
-	he	him	him
-	man	mon	mann
+	se	þæs	se
+	lifes	lifes	lifes
-	ne	ne	nesan
-	wenan	wende	wendan
+	raðe	Raðe	raðe
+	æfter	æfter	æfter
-	se	þæm	þæm
+	cuman	com	cuman
+	Darius	Darius	darius
+	mid	mid	mid
-	fyrd	firde	None
-	to	to	toh
+	Alexander	Alexandre	alexander
+	he	He	he
+	habban	hæfde	habban
+	þri	III	þri
+	hund	C	hund
+	þusend	þusenda	þusend
+	feþa	feðena	feþa
+	&	&	None
-	an	an	on
+	hund	hund	hund
+	þusend	þusenda	þusend
+	gehorsian	gehorsedra	gehorsian
+	Alexander	Alexander	alexander
+	wesan	wæs	wesan
-	þa	þa	þu
-	he	him	him
+	swiðe	swiðe	swiðe
+	ondrædan	ondrædende	ondrædan
+	for	for	for
-	se	þære	þære
+	micel	miclan	micel
+	menigu	menige	menigu
+	&	&	None
+	for	for	for
-	se	þære	þære
+	lytel	lytlan	lytel
-	þe	þe	þu
+	he	he	he
+	self	self	self
+	habban	hæfde	habban
+	þeah	þeh	þeah
-	þe	þe	þu
+	he	he	he
+	ær	ær	ær
+	mid	mid	mid
-	se	þære	þære
+	ilca	ilcan	ilca
+	Darius	Darius	darius
+	micel	maran	micel
+	ofercuman	ofercome	ofercuman
-	se	Þæt	þæt
-	gefeoht	gefeoht	gefeohtan
+	wesan	wæs	wesan
-	gedo	gedon	gedon
+	mid	mid	mid
+	micel	micelre	micel
+	geornfulnes	geornfullnesse	geornfulnes
+	of	of	of
-	se	þæm	þæm
+	folc	folcum	folc
+	begen	bæm	begen
+	&	&	None
+	þær	þær	þær
+	wesan	wæron	wesan
-	se	þa	þu
+	cyning	cyningas	cyning
+	begen	begen	begen
-	gewundian	gewundod	wundian
+	þær	Þær	þær
+	wesan	wæs	wesan
+	Perse	Persa	perse
+	tin	X	tin
+	þusend	M	þusend
+	ofslean	ofslægen	ofslean
+	gehorsian	gehorsedra	gehorsian
+	&	&	None
+	eahtatig	eahtatig	eahtatig
+	þusend	M	þusend
+	feþa	feþena	feþa
+	&	&	None
+	eahtatig	eahtatig	eahtatig
+	þusend	M	þusend
+	gefangian	gefangenra	gefangian
+	&	&	None
+	þær	þær	þær
+	wesan	wæs	wesan
+	ungemetlic	ungemetlic	ungemetlic
+	micel	micel	micel
+	licgan	licgende	licgan
+	feoh	feoh	feoh
+	findan	funden	findan
+	on	on	on
-	se	ðæm	þæm
+	wicstow	wicstowun	wicstow
+	þær	Þær	þær
+	wesan	wæs	wesan
+	Darius	Darius	darius
+	modor	modor	modor
-	gefangian	gefangen	gefon
+	&	&	None
-	his	his	hit
+	wif	wif	wif
+	se	sio	se
+	wesan	wæs	wesan
-	his	his	hit
-	sweostor	swiostor	None
+	&	&	None
-	his	his	hit
+	twegen	II	twegen
+	dohtor	dohtor	dohtor
+	þa	Ða	þa
+	beodan	bead	beodan
+	Darius	Darius	darius
+	healf	healf	healf
-	his	his	hit
-	rice	rice	romana
+	Alexander	Alexandre	alexander
+	wiþ	wiþ	wiþ
-	se	þæm	þæm
-	wifmann	wifmonnum	None
-	ac	ah	agan
-	he	him	him
-	ne	n	næs
-	willan	olde	None
+	Alexander	Alexander	alexander
+	se	þæs	se
+	getiðian	getygþian	getiðian
+	Darius	Darius	darius
-	þa	þa	þu
+	git	giet	git
+	þridda	þriddan	þridda
+	siþ	siþe	siþ
+	gegaderian	gegaderade	gegaderian
-	fyrd	fird	None
+	of	of	of
+	Perse	Persum	perse
+	&	&	None
-	eac	eac	eacan
+	of	of	of
-	oðer	oþrum	oþrum
+	land	londum	land
+	se	þone	se
-	fultum	fultum	fultuman
-	þe	þe	þu
+	he	he	he
-	he	him	him
-	to	to	toh
+	aspanan	aspanan	aspanan
+	magan	mehte	magan
+	&	&	None
+	wiþ	wið	wiþ
+	Alexander	Alexandres	alexander
-	faran	for	for
-	se	Þa	þa
+	hwil	hwile	hwil
-	þe	þe	þu
+	Darius	Darius	darius
-	fyrd	fird	None
+	gegaderian	gegaderode	gegaderian
-	se	þa	þu
+	hwil	hwile	hwil
+	sendan	sende	sendan
+	Alexander	Alexander	alexander
+	Parmenio	Parmenionem	parmenio
-	his	his	hit
+	ladteow	ladteow	ladteow
+	þæt	þæt	þæt
+	he	he	he
+	Darius	Darius	darius
+	sciphere	sciphere	sciphere
+	geflyman	gefliemde	geflyman
+	&	&	None
+	he	he	he
+	self	self	self
-	faran	for	for
+	in	in	in
+	Siria	Sirium	siria
+	&	&	None
+	hi	hie	hi
-	he	him	him
+	ongeagn	ongean	ongeagn
+	cuman	comon	cuman
+	&	&	None
-	he	his	hit
+	mid	mid	mid
+	eaþmodnes	eaþmodnessun	eaþmodnes
-	onfon	anfengon	None
+	&	&	None
+	he	he	he
+	þeah	ðeah	þeah
+	naðylæs	naþelæs	naðylæs
+	hira	heora	hira
+	land	land	land
+	oferhergian	oferhergeade	oferhergian
+	&	&	None
-	se	þæt	þæt
+	folc	folc	folc
+	sum	sum	sum
+	þær	þær	þær
+	sittan	sittan	sittan
+	lætan	let	lætan
+	sum	sum	sum
+	þanan	þonan	þanan
+	adrifan	adræfde	adrifan
+	sum	sume	sum
+	on	on	on
-	elþeod	elðiode	None
-	he	him	him
+	wiþ	wið	wiþ
+	feoh	feo	feoh
+	gesellan	gesealde	gesellan
+	&	&	None
+	Tirus	Tirus	tirus
-	se	þa	þu
+	eald	ealdan	eald
-	burh	burg	cantwara
+	&	&	None
-	se	þa	þu
+	welig	welegan	welig
+	he	he	he
+	besittan	besætt	besittan
+	&	&	None
+	siððan	siþþan	siððan
+	tobrecan	tobræc	tobrecan
+	&	&	None
+	mid	mid	mid
-	eal	ealle	ealle
+	toweorpan	towearp	toweorpan
+	for	for	for
+	þon	þon	þon
+	hi	hi	hi
-	hi	him	him
+	lustlice	lustlice	lustlice
-	onfon	anfon	None
-	ne	n	næs
-	willan	oldan	None
+	&	&	None
+	siððan	siþþan	siððan
-	faran	for	for
+	on	on	on
+	Cilicia	Cilicium	cilicia
+	&	&	None
-	se	þæt	þæt
+	folc	folc	folc
-	to	to	toh
-	he	him	him
-	genedan	geniedde	geniedan
+	&	&	None
+	siððan	siþþan	siððan
+	on	on	on
+	Roðos	Roðum	roðos
-	se	þæt	þæt
-	igland	iglond	None
+	&	&	None
-	se	þæt	þæt
+	folc	folc	folc
-	to	to	toh
-	he	him	him
-	genedan	geniedde	geniedan
+	&	&	None
+	æfter	æfter	æfter
-	se	þæm	þæm
+	he	he	he
-	faran	for	for
+	on	on	on
+	Egipte	Egypti	egipte
+	&	&	None
+	hi	hi	hi
-	to	to	toh
-	he	him	him
-	genedan	geniedde	geniedan
+	&	&	None
+	þær	þær	þær
-	hatan	het	hettan
-	se	þa	þu
-	burh	burg	cantwara
+	atimbran	atimbran	atimbran
-	þe	þe	þu
-	man	mon	mann
+	siððan	siþþan	siððan
+	be	be	be
-	he	him	him
-	hatan	het	hettan
+	Alexandria	Alexandria	alexandria
+	&	&	None
+	siððan	siþþan	siððan
+	he	he	he
-	faran	for	for
-	to	to	toh
-	se	þæm	þæm
+	hearg	hearge	hearg
-	þe	þe	þu
+	Egipte	Egypti	egipte
+	secgan	sædon	secgan
+	þæt	þæt	þæt
+	he	he	he
-	wesan	wære	wære
+	Amon	Amones	amon
+	hira	heora	hira
-	God	Godes	godes
+	se	se	se
+	wesan	wæs	wesan
+	Iobes	Iobeses	iobes
+	sunu	sunu	sunu
+	hira	heora	hira
-	oðer	oþres	oþer
-	God	Godes	godes
-	to	to	toh
-	se	þon	þon
+	þæt	þæt	þæt
+	he	he	he
+	willan	wolde	willan
+	beladian	beladian	beladian
-	his	his	hit
+	modor	modor	modor
+	Nectanebus	Nectanebuses	nectanebus
+	se	þæs	se
+	dry	drys	dry
-	þe	þe	þu
-	man	mon	mann
-	secgan	sæde	sæd
+	þæt	þæt	þæt
+	heo	heo	heo
-	heo	hie	hi
+	wiþ	wið	wiþ
+	forlicgan	forlege	forlicgan
+	&	&	None
+	þæt	þæt	þæt
+	he	he	he
+	Alexander	Alexandres	alexander
+	fæder	fæder	fæder
-	wesan	wære	wære
+	þa	Þa	þa
+	bebeodan	bebead	bebeodan
+	Alexander	Alexander	alexander
-	se	þæm	þæm
+	hæðen	hæðnan	hæðen
+	bisceop	biscepe	bisceop
+	þæt	þæt	þæt
+	he	he	he
+	becreopan	becrupe	becreopan
+	on	on	on
+	se	þæs	se
+	Amon	Amones	amon
+	anlicnes	anlicnesse	anlicnes
-	þe	þe	þu
+	inne	inne	inne
+	on	on	on
-	se	þæm	þæm
+	hearg	hearge	hearg
+	wesan	wæs	wesan
+	ær	ær	ær
-	se	þæm	þæm
-	þe	þe	þu
+	he	he	he
+	&	&	None
-	se	þæt	þæt
+	folc	folc	folc
+	hi	hie	hi
+	þær	ðær	þær
+	gegaderian	gegaderede	gegaderian
+	&	&	None
-	secgan	sæde	sæd
+	hu	hu	hu
+	he	he	he
-	he	him	him
+	on	an	on
-	his	his	hit
+	gewil	gewill	gewil
+	beforan	beforan	beforan
-	se	þam	þæm
+	folc	folce	folc
+	andwerdan	ondwyrdan	andwerdan
+	sculan	sceolde	sculan
+	se	þæs	se
+	he	he	he
+	he	hiene	he
-	ascian	ascade	None
+	her	HER	her
-	onginnan	onginneð	None
-	se	seo	seon
+	gerecednys	gerecednes	gerecednys
+	be	be	be
+	Antiochus	Antioche	antiochus
-	se	þam	þæm
+	ungesælig	ungesæligan	ungesælig
-	cyning	cingce	None
+	and	and	and
+	be	be	be
+	Apollonius	Apollonige	apollonius
-	se	þam	þæm
+	tiriscan	tiriscan	tiriscan
+	an	An	an
+	Antiochia	Antiochia	antiochia
+	se	þare	se
+	ceaster	ceastre	ceaster
+	wesan	wæs	wesan
+	sum	sum	sum
-	cyning	cyningc	None
+	Antiochus	Antiochus	antiochus
-	gehatan	gehaten	hatan
+	æfter	æfter	æfter
+	se	þæs	se
+	cyning	cyninges	cyning
-	nama	naman	naman
+	wesan	wæs	wesan
-	se	seo	seon
+	ceaster	ceaster	ceaster
+	Antiochia	Antiochia	antiochia
+	gecigan	geciged	gecigan
+	þes	Þises	þes
+	cyning	cyninges	cyning
+	cwen	cwen	cwen
-	weorþan	wearð	None
+	of	of	of
+	lif	life	lif
-	gewitan	gewiten	witan
+	be	be	be
+	se	ðare	se
+	he	he	he
+	habban	hæfde	habban
+	an	ane	an
+	swiðe	swiðe	swiðe
+	wlitig	wlitige	wlitig
-	dohtor	dohter	None
+	ungelifedlic	ungelifedlicre	ungelifedlic
+	fægernes	fægernesse	fægernes
+	mid	Mid	mid
-	se	þi	þi
-	þe	þe	þu
+	heo	heo	heo
+	becuman	becom	becuman
-	to	to	toh
+	giftelic	giftelicre	giftelic
+	ieldo	yldo	ieldo
-	þa	þa	þu
+	gyrnan	gyrnde	gyrnan
-	heo	hyre	hyrian
+	manig	mænig	manig
+	mære	mære	mære
-	mann	man	munan
+	micel	micele	micel
+	mærþu	mærða	mærþu
+	beodan	beodende	beodan
+	þa	Ða	þa
+	gelimpan	gelamp	gelimpan
+	hit	hit	hit
+	sarlic	sarlicum	sarlic
-	gelimp	gelimpe	gelimpan
-	þa	þa	þu
-	þa	ða	þe
+	se	se	se
+	fæder	fæder	fæder
-	þencan	þohte	þenсean
-	hwa	hwam	hwæt
+	he	he	he
-	heo	hi	hi
-	magan	mihte	miht
+	healice	healicost	healice
+	forgifan	forgifan	forgifan
-	þa	þa	þu
+	gefeallan	gefeol	gefeallan
-	his	his	hit
-	agen	agen	ongeagn
+	mod	mod	mod
+	on	on	on
-	hire	hyre	hyrian
+	lufu	lufe	lufu
+	mid	mid	mid
+	unriht	unrihtre	unriht
+	gewilnung	gewilnunge	gewilnung
-	to	to	toh
-	se	ðam	ðam
+	swiðe	swiðe	swiðe
+	þæt	þæt	þæt
+	he	he	he
+	forgitan	forgeat	forgitan
-	se	þa	þu
+	fæderlic	fæderlican	fæderlic
+	arfæstnes	arfæstnesse	arfæstnes
+	and	and	and
+	gewilnian	gewilnode	gewilnian
-	his	his	hit
+	agen	agenre	agen
+	dohtor	dohtor	dohtor
-	he	him	him
-	to	to	toh
+	gemæcca	gemæccan	gemæcca
+	and	And	and
-	se	þa	þu
+	gewilnung	gewilnunge	gewilnung
+	nawiht	naht	nawiht
+	lange	lange	lange
-	ne	ne	nesan
-	ildan	ylde	yldan
-	ac	ac	acan
+	sum	sume	sum
-	dæg	dæge	dæge
+	on	on	on
+	ærmorgen	ærnemergen	ærmorgen
-	þa	þa	þu
+	he	he	he
+	of	of	of
-	slæp	slæpe	slæpan
+	awacan	awoc	awacan
+	he	he	he
+	abrecan	abræc	abrecan
+	into	into	into
-	se	ðam	ðam
+	bur	bure	bur
+	þær	þar	þær
+	heo	heo	heo
+	inne	inne	inne
-	licgan	læg	liсgan
+	and	and	and
-	hatan	het	hettan
-	his	his	hit
+	hiredmann	hyredmen	hiredmann
-	eal	ealle	ealle
-	he	him	him
+	aweg	aweg	aweg
+	gan	gan	gan
+	swilce	swilce	swilce
+	he	he	he
+	wiþ	wið	wiþ
-	his	his	hit
+	dohtor	dohtor	dohtor
+	sum	sume	sum
+	digol	digle	digol
-	spræc	spæce	specan
+	sprecan	sprecan	sprecan
+	willan	wolde	willan
-	hwæt	Hwæt	None
+	he	he	he
-	þa	ða	þe
+	on	on	on
+	se	ðare	se
+	manfull	manfullan	manfull
+	scyld	scilde	scyld
+	abisgian	abisgode	abisgian
+	and	and	and
-	se	þa	þu
+	ongeanwinnende	ongeanwinnendan	ongeanwinnende
+	fæmne	fæmnan	fæmne
+	mid	mid	mid
+	micel	micelre	micel
+	strengðu	strengðe	strengðu
-	earfoðlice	earfoðlice	earfoþlice
-	ofercom	ofercom	ofercuman
+	and	and	and
-	se	þæt	þæt
+	gefremian	gefremede	gefremian
-	man	man	munan
+	gewilnian	gewilnode	gewilnian
-	to	to	toh
+	bediglian	bediglianne	bediglian
+	þa	Ða	þa
-	geweorþan	gewearð	None
+	hit	hit	hit
+	þæt	þæt	þæt
+	se	þæs	se
-	mægden	mædenes	mæden
+	fostermodor	fostormodor	fostermodor
+	into	into	into
-	se	ðam	ðam
+	bur	bure	bur
+	gan	eode	gan
+	and	and	and
+	geseon	geseah	geseon
-	heo	hi	hi
+	þær	ðar	þær
+	sittan	sittan	sittan
+	on	on	on
+	micel	micelre	micel
+	gedrefednes	gedrefednesse	gedrefednes
+	and	and	and
-	heo	hire	hire
-	cweþan	cwæð	cweðan
-	to	to	toh
+	hwy	Hwig	hwy
+	wesan	eart	wesan
+	þu	þu	þu
+	hlæfdige	hlæfdige	hlæfdige
+	swa	swa	swa
+	gedrefan	gedrefedes	gedrefan
+	mod	modes	mod
-	se	Þæt	þæt
-	mægden	mæden	mæden
-	heo	hyre	hyrian
-	andswarian	andswerode	None
-	leof	Leofe	None
+	fostermodor	fostormodor	fostermodor
+	nu	nu	nu
+	todæg	todæg	todæg
+	forweorþan	forwurdon	forweorþan
+	twegen	twegen	twegen
+	æðele	æðele	æðele
-	nama	naman	naman
+	on	on	on
+	þes	þisum	þes
+	bur	bure	bur
+	se	Seo	se
+	fostermodor	fostormodor	fostermodor
-	cweþan	cwæð	cweðan
+	hlæfdige	Hlæfdige	hlæfdige
+	be	be	be
-	hwa	hwam	hwæt
-	cweðan	cwist	cweþan
+	þu	þu	þu
-	se	þæt	þæt
+	heo	Heo	heo
-	heo	hyre	hyrian
-	andwerdan	andwirde	andwirdan
+	and	and	and
-	cweþan	cwæð	cweðan
+	ær	ær	ær
-	se	ðam	ðam
-	dæg	dæge	dæge
+	min	minra	min
+	brydgifta	bridgifta	brydgifta
+	ic	ic	ic
+	wesan	eom	wesan
+	mid	mid	mid
+	manfull	manfulre	manfull
+	scyld	scilde	scyld
+	besmitan	besmiten	besmitan
+	þa	Ða	þa
-	cweþan	cwæð	cweðan
-	se	seo	seon
+	fostermodor	fostormodor	fostermodor
-	hwa	Hwa	None
+	wesan	wæs	wesan
+	æfre	æfre	æfre
+	swa	swa	swa
+	dyrstig	dirstiges	dyrstig
+	mod	modes	mod
+	þæt	þæt	þæt
+	durran	dorste	durran
-	cyning	cynges	cyng
+	dohtor	dohtor	dohtor
+	gewemman	gewæmman	gewemman
+	ær	ær	ær
-	se	ðam	ðam
-	dæg	dæge	dæge
-	hire	hyre	hyrian
+	brydgifta	brydgifta	brydgifta
+	and	and	and
-	he	him	him
-	ne	ne	nesan
+	ondrædan	ondrede	ondrædan
+	se	þæs	se
+	cyning	cyninges	cyning
+	irre	irre	irre
+	se	Ðæt	se
-	mægden	mæden	mæden
-	cweþan	cwæð	cweðan
+	arleasnes	Arleasnes	arleasnes
-	se	þa	þu
+	scyld	scilde	scyld
+	on	on	on
-	ic	me	me
+	gefremian	gefremode	gefremian
+	se	Seo	se
+	fostermodor	fostormodor	fostermodor
-	cweþan	cwæð	cweðan
+	hwær	Hwar	hwær
+	wesan	is	wesan
+	se	se	se
+	fæder	fæder	fæder
+	soþlice	Soðlice	soþlice
+	on	on	on
-	ic	me	me
+	earm	earmre	earm
+	wesan	is	wesan
+	min	mines	min
+	fæder	fæder	fæder
+	nama	nama	nama
+	hreowlice	reowlice	hreowlice
+	forweorþan	forworden	forweorþan
+	and	and	and
-	ic	me	me
+	nu	nu	nu
+	forðam	forðam	forðam
-	deaþ	deað	None
+	þearle	þearle	þearle
+	gelician	gelicað	gelician
+	se	Seo	se
+	fostermodor	fostormodor	fostermodor
+	soþlice	soðlice	soþlice
-	þa	þa	þu
-	þa	ða	þe
+	heo	heo	heo
-	gehyran	gehyrde	gehyrdan
+	þæt	þæt	þæt
-	se	þæt	þæt
-	mægden	mæden	mæden
+	hire	hire	hire
-	deaþ	deaðes	None
+	girnde	girnde	girnde
-	þa	ða	þe
+	clypian	cliopode	clypian
+	heo	heo	heo
-	heo	hi	hi
-	heo	hire	hire
-	to	to	toh
+	mid	mid	mid
-	liþe	liðere	None
-	spræc	spræce	sprecan
+	and	and	and
-	biddan	bæd	bædan
+	þæt	þæt	þæt
+	heo	heo	heo
+	fram	fram	fram
+	se	þare	se
+	gewilnung	gewilnunge	gewilnung
-	hire	hyre	hyrian
+	mod	mod	mod
-	gewendan	gewænde	None
+	and	and	and
-	to	to	toh
+	hire	hire	hire
+	fæder	fæder	fæder
-	willa	willan	willan
+	gebugan	gebuge	gebugan
-	þeah	þeah	þiсgan
-	þe	ðe	þu
+	heo	heo	heo
-	to	to	toh
+	geneadian	geneadod	geneadian
-	wesan	wære	wære
+	on	On	on
+	þes	þisum	þes
+	þing	þingum	þing
+	soþlice	soðlice	soþlice
+	þurhwunian	þurhwunode	þurhwunian
+	se	se	se
-	arleas	arleasesta	None
-	cyning	cyngc	None
+	Antiochus	Antiochus	antiochus
+	and	and	and
+	mid	mid	mid
+	gehywian	gehywedan	gehywian
+	mod	mode	mod
+	he	hine	he
-	self	sylfne	silf
+	ætywan	ætywde	ætywan
-	his	his	hit
+	ceastergewaru	ceastergewarum	ceastergewaru
+	swilce	swilce	swilce
+	he	he	he
+	arfæst	arfæst	arfæst
+	fæder	fæder	fæder
-	wesan	wære	wære
-	his	his	hit
+	dohtor	dohtor	dohtor
+	and	And	and
+	betweoh	betwux	betweoh
-	his	his	hit
+	hiwcuþ	hiwcuðum	hiwcuþ
+	mann	mannum	mann
+	he	he	he
+	blissian	blissode	blissian
+	on	on	on
-	se	ðam	ðam
+	þæt	þæt	þæt
+	he	he	he
-	his	his	hit
+	agen	agenre	agen
+	dohtor	dohtor	dohtor
+	wer	wer	wer
+	wesan	wæs	wesan
+	and	And	and
-	to	to	toh
-	se	ðam	ðam
+	þæt	þæt	þæt
+	he	he	he
-	þe	þe	þu
+	lange	lengc	lange
+	brucan	brucan	brucan
-	magan	mihte	miht
-	his	his	hit
+	dohtor	dohtor	dohtor
+	arleas	arleasan	arleas
+	brydbed	bridbeddes	brydbed
+	and	and	and
-	he	him	him
+	fram	fram	fram
+	adrifan	adryfan	adrifan
-	se	þa	þu
-	þe	ðe	þu
-	heo	hyre	hyrian
+	gyrnan	girndon	gyrnan
-	to	to	toh
+	riht	rihtum	riht
+	gesinscipe	gesynscipum	gesinscipe
+	he	he	he
+	asettan	asette	asettan
-	þa	ða	þe
+	rædels	rædels	rædels
+	þus	þus	þus
-	cweþan	cweðende	cweðan
+	swa	Swa	swa
+	hwilc	hwilc	hwilc
-	mann	man	munan
+	swa	swa	swa
+	min	minne	min
+	rædels	rædels	rædels
-	riht	riht	rihtan
+	arædan	aræde	arædan
+	onfon	onfo	onfon
+	se	se	se
+	mynre	mynre	mynre
+	dohtor	dohtor	dohtor
-	to	to	toh
+	wif	wife	wif
+	and	and	and
+	se	se	se
-	ðe	ðe	þu
+	he	hine	he
+	misrædan	misræde	misrædan
-	wesan	sy	su
+	he	he	he
+	beheafdian	beheafdod	beheafdian
-	hwæt	Hwæt	None
+	wesan	is	wesan
+	nu	nu	nu
+	micel	mare	micel
-	ymb	ymbe	ymbe
-	se	þæt	þæt
-	to	to	toh
-	sprecan	sprecanne	None
+	butan	buton	butan
+	þæt	þæt	þæt
+	cyning	cyningas	cyning
+	æghwanan	æghwano	æghwanan
-	cuman	coman	None
+	and	and	and
+	ealdorman	ealdormen	ealdorman
+	for	for	for
-	se	ðam	ðam
+	ungelifedlic	ungelifedlican	ungelifedlic
+	wlite	wlite	wlite
+	se	þæs	se
-	mægden	mædenes	mæden
+	and	and	and
+	se	þone	se
-	deaþ	deað	None
+	hi	hi	hi
+	oferhogian	oferhogodon	oferhogian
+	and	and	and
+	se	þone	se
+	rædels	rædels	rædels
-	understandan	understodon	understondan
-	to	to	toh
+	arædan	arædenne	arædan
+	ac	Ac	ac
+	gif	gif	gif
-	hi	heora	hira
+	hwilc	hwilc	hwilc
+	þonne	þonne	þonne
+	þurh	þurh	þurh
+	asmeagung	asmeagunge	asmeagung
-	boclic	boclicre	bocliс
+	snotorness	snotornesse	snotorness
+	se	þone	se
+	rædels	rædels	rædels
+	ariht	ariht	ariht
+	rædan	rædde	rædan
+	þonne	þonne	þonne
-	weorþan	wearð	None
+	se	se	se
-	to	to	toh
+	beheafdung	beheafdunge	beheafdung
+	gelædan	gelæd	gelædan
+	swa	swa	swa
+	same	same	same
+	swa	swa	swa
+	se	se	se
-	ðe	ðe	þu
+	he	hine	he
+	ariht	ariht	ariht
-	ne	ne	nesan
+	rædan	rædde	rædan
+	and	And	and
-	se	þa	þu
+	heafod	heafda	heafod
-	eal	ealle	ealle
-	weorþan	wurdon	wurdon
+	gesette	gesette	gesette
+	on	on	on
+	ufeweard	ufeweardan	ufeweard
-	se	þam	þæm
-	geat	geate	gietan
+	mid	Mid	mid
+	þi	þi	þi
+	soþlice	soðlice	soþlice
+	Antiochus	Antiochus	antiochus
+	se	se	se
-	wælhreow	wælreowa	wælreow
-	cyning	cyningc	None
+	on	on	on
+	þes	þysse	þes
+	wælhreowness	wælreownesse	wælhreowness
+	þurhwunian	þurhwunode	þurhwunian
-	þa	ða	þe
+	wesan	wæs	wesan
+	Apollonius	Apollonius	apollonius
-	gehatan	gehaten	hatan
+	sum	sum	sum
-	geong	iung	None
-	mann	man	munan
+	se	se	se
+	wesan	wæs	wesan
+	swiðe	swiðe	swiðe
+	welig	welig	welig
+	and	and	and
+	snotor	snotor	snotor
